day,session,cone number,master ID
1,1,1,1
1,1,2,2
1,1,3,3
1,1,4,4
1,2,1,5
1,2,2,6
1,2,3,7
1,2,4,8
2,3,1,5
2,3,2,9
2,3,3,10
2,3,4,6
2,4,1,7
2,4,2,5
2,4,3,6
2,4,4,11
2,5,1,10
2,5,2,8
2,5,3,12
2,5,4,7
2,6,1,13
2,6,2,11
2,6,3,14
2,6,4,15
3,7,1,16
3,7,2,17
3,7,3,18
3,7,4,19
3,8,1,20
3,8,2,21
3,8,3,22
3,8,4,23
3,9,1,24
3,9,2,25
3,9,3,26
3,9,4,27
3,10,1,28
3,10,2,29
3,10,3,30
3,10,4,25
4,11,1,31
4,11,2,32
4,11,3,16
4,11,4,33
4,12,1,34
4,12,2,35
4,12,3,36
4,12,4,37
4,13,1,38
4,13,2,39
4,13,3,40
4,13,4,41
4,14,1,42
4,14,2,43
4,14,3,44
4,14,4,27
5,15,1,45
5,15,2,46
5,15,3,36
5,15,4,47
5,15,5,48
5,16,1,49
5,16,2,47
5,16,3,36
5,16,4,50
5,16,5,51
5,17,1,52
5,17,2,53
5,17,3,54
5,17,4,55
5,17,5,56
5,18,1,57
5,18,2,37
5,18,3,58
5,18,4,59
5,18,5,60
6,19,1,61
6,19,2,62
6,19,3,63
6,19,4,64
6,19,5,65
6,20,1,62
6,20,2,19
6,20,3,66
6,20,4,67
6,20,5,68
6,21,1,4
6,21,2,69
6,21,3,70
6,21,4,71
6,21,5,47
7,22,1,42
7,22,2,43
7,22,3,44
7,22,4,24
7,22,5,27
7,23,1,72
7,23,2,73
7,23,3,74
7,23,4,75
7,23,5,76
7,24,1,77
7,24,2,78
7,24,3,79
7,24,4,80
7,24,5,81
8,25,1,7
8,25,2,81
8,25,3,11
8,25,4,15
8,25,5,82
8,26,1,84
8,26,2,24
8,26,3,85
8,26,4,86
8,26,5,27
8,27,1,15
8,27,2,11
8,27,3,87
8,27,4,88
8,27,5,83
